user_feature_1,user_feature_2,user_feature_3,choice
Female,2-3 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,1-2 years ago,Good price,Color: Black; Style: Gradient color; Weight: 2.66 pounds; Price: $26 (MSRP: $26)
Male,2-3 years ago,Product quality,Color: Light blue; Style: Gradient color; Weight: 2.68 pounds; Price: $26 (MSRP: $26)
Male,2-3 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,3-4 yeas ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,2-3 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,2-3 years ago,Brand reputation,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,1-2 years ago,Good price,Color: Black; Style: Gradient color; Weight: 2.66 pounds; Price: $26 (MSRP: $26)
Male,1-2 years ago,Product quality,Color: Black; Style: Solid color; Weight: 2.66 pounds; Price: $24 (MSRP: $24)
Female,More than 4 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,2-3 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,2-3 years ago,Product quality,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,2-3 years ago,Product quality,Color: Black; Style: Solid color; Weight: 2.66 pounds; Price: $24 (MSRP: $24)
Female,1-2 years ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Female,3-4 yeas ago,Brand reputation,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,Less than 1 year ago,Good price,Do not purchase; save the $30 or use it for other expenses ($30 is roughly enough to cover two meals at a fast-food restaurant in the U.S.)
Male,1-2 years ago,Product quality,Color: Light blue; Style: Gradient color; Weight: 2.68 pounds; Price: $26 (MSRP: $26)
Female,2-3 years ago,Product quality,Color: Black; Style: Solid color; Weight: 2.66 pounds; Price: $24 (MSRP: $24)
